M2_B1024	2	1024	1024	15.377391	6.660730	2.850748	5.865871
M2_B2048	2	2048	2048	15.283529	6.172313	2.839447	6.271749
M2_B4096	2	4096	4096	16.180154	6.681361	2.829526	6.669253
M2_B8192	2	8192	8192	16.621281	7.039953	2.963502	6.617798
M2_B16384	2	16384	16384	16.483976	6.726911	2.862331	6.894723
M4_B1024	4	1024	1024	16.663166	7.371994	3.055037	6.236097
M4_B2048	4	2048	2048	15.945888	6.382467	3.099844	6.463563
M4_B4096	4	4096	4096	16.542746	7.420022	3.024467	6.098238
M4_B8192	4	8192	8192	16.658610	6.948899	3.147140	6.562559
M4_B16384	4	16384	16384	16.346099	7.151699	3.000310	6.194053
M8_B1024	8	1024	1024	12.388541	5.570711	3.127479	3.690331
M8_B2048	8	2048	2048	15.236811	8.378542	3.346662	3.511569
M8_B4096	8	4096	4096	16.046948	8.413522	3.123239	4.510169
M8_B8192	8	8192	8192	13.937095	7.389805	3.117114	3.430166
M8_B16384	8	16384	16384	14.019227	6.785080	3.080063	4.154071
M16_B1024	16	1024	1024	17.957868	7.003537	6.261392	4.692926
M16_B2048	16	2048	2048	21.165685	8.797560	5.742165	6.625920
M16_B4096	16	4096	4096	21.952781	9.674134	5.807872	6.470742
M16_B8192	16	8192	8192	19.487264	9.722149	4.219750	5.545348
M16_B16384	16	16384	16384	15.105358	7.650061	3.663663	3.791612
M32_B1024	32	1024	1024	13.055828	6.147926	3.523211	3.384675
M32_B2048	32	2048	2048	15.610326	8.588626	3.679508	3.342166
M32_B4096	32	4096	4096	13.662414	6.407691	3.512704	3.742004
M32_B8192	32	8192	8192	12.929879	6.507211	3.649897	2.772722
M32_B16384	32	16384	16384	12.472335	5.877543	3.274716	3.320061
M64_B1024	64	1024	1024	11.547672	5.578797	3.621282	2.347578
M64_B2048	64	2048	2048	12.889948	6.204059	3.666093	3.019709
M64_B4096	64	4096	4096	12.169125	5.629187	3.495129	3.044785
M64_B8192	64	8192	8192	13.257231	6.260629	3.810970	3.185568
M64_B16384	64	16384	16384	12.449875	5.858450	3.503656	3.087745
M128_B1024	128	1024	1024	11.416288	5.139492	3.381027	2.895758
M128_B2048	128	2048	2048	10.986885	5.040817	3.613314	2.332733
M128_B4096	128	4096	4096	12.734022	5.953561	3.627340	3.153043
M128_B8192	128	8192	8192	11.685420	5.449595	3.377171	2.858631
M128_B16384	128	16384	16384	11.242466	5.501493	3.427382	2.313577
M256_B1024	256	1024	1024	11.842898	5.016570	3.574301	3.252015
M256_B2048	256	2048	2048	10.946361	5.210166	3.513262	2.222919
M256_B4096	256	4096	4096	12.730076	5.949257	3.706817	3.073977
M256_B8192	256	8192	8192	12.696024	5.635685	3.740113	3.320211
M256_B16384	256	16384	16384	11.438281	5.476710	3.646034	2.315523
M512_B1024	512	1024	1024	12.249008	5.453274	3.658269	3.137438
M512_B2048	512	2048	2048	11.799863	5.534844	3.737820	2.527186
