TC	OMP	MM	B_L	B_R	Elapsed time	Read time	Join time	Write time
S1	2	128	1024	1024	11.456783	4.831760	3.351779	3.273208
S2	2	128	2048	2048	12.959833	5.791245	3.233012	3.935536
S3	2	128	4096	4096	12.129215	5.361375	3.004894	3.762927
S4	2	128	8192	8192	12.299129	5.368801	2.971739	3.958563
S5	2	128	16384	16384	11.945245	5.121931	2.813360	4.009939
R1	2	128	4096	1024	15.323323	6.818135	3.623237	4.881938
R2	2	128	4096	2048	15.156786	6.556364	3.614824	4.985582
R3	2	128	4096	4096	13.356402	6.134001	3.277218	3.945157
R4	2	128	4096	8192	12.910363	5.795986	3.116471	3.997878
R5	2	128	4096	16384	14.783623	6.551288	3.488882	4.743430
L1	2	128	1024	4096	14.312493	6.128451	3.713189	4.470811
L2	2	128	2048	4096	14.174998	6.224726	3.685774	4.264473
L3	2	128	4096	4096	13.441820	6.068262	3.371080	4.002427
L4	2	128	8192	4096	14.476148	6.561828	3.254426	4.659870
L5	2	128	16384	4096	14.385097	6.442434	3.359825	4.582793
S1	2	256	1024	1024	15.031171	6.568538	4.060928	4.401681
S2	2	256	2048	2048	14.102537	6.212651	3.445142	4.444728
S3	2	256	4096	4096	13.579485	6.209411	3.195042	4.175012
S4	2	256	8192	8192	12.948760	5.866603	3.106511	3.975628
S5	2	256	16384	16384	13.367579	6.007479	3.091552	4.268531
R1	2	256	4096	1024	12.736653	5.840010	3.166901	3.729731
R2	2	256	4096	2048	12.697483	5.896174	3.043729	3.757558
R3	2	256	4096	4096	12.524463	5.626340	3.065240	3.832867
R4	2	256	4096	8192	13.322060	6.030410	3.138174	4.153464
R5	2	256	4096	16384	12.272588	5.555115	2.966192	3.751263
L1	2	256	1024	4096	14.105516	6.147647	3.834416	4.123440
L2	2	256	2048	4096	12.301702	5.030058	3.250356	4.021265
L3	2	256	4096	4096	13.026812	5.643385	3.382679	4.000732
L4	2	256	8192	4096	12.118330	5.231188	2.949611	3.937514
L5	2	256	16384	4096	10.068841	4.422430	2.483528	3.162873
S1	4	256	1024	1024	15.540084	5.669893	5.345506	4.524646
S2	4	256	2048	2048	14.170272	5.293697	3.692163	5.184398
S3	4	256	4096	4096	12.979199	5.440122	3.434682	4.104378
S4	4	256	8192	8192	14.846469	5.771965	3.554027	5.520462
S5	4	256	16384	16384	14.152205	6.348729	3.401540	4.401906
R1	4	256	4096	1024	14.802415	5.625504	3.513008	5.663842
R2	4	256	4096	2048	12.462964	5.222530	3.325185	3.915237
R3	4	256	4096	4096	12.587183	5.502638	3.215593	3.868939
R4	4	256	4096	8192	14.647471	5.754655	3.501920	5.390883
R5	4	256	4096	16384	13.825300	5.986239	3.557261	4.281782
L1	4	256	1024	4096	17.460407	6.431997	5.232266	5.796132
L2	4	256	2048	4096	14.071943	5.910833	3.907768	4.253329
L3	4	256	4096	4096	14.660187	5.429579	3.600898	5.629661
L4	4	256	8192	4096	11.780194	4.982055	2.939179	3.858908
L5	4	256	16384	4096	13.449878	5.396928	3.063785	4.989138
