TC	OMP	MM	B_L	B_R	Elapsed time	Read time	Join time	Write time
S1	4	256	1024	1024	20.776230	7.518265	6.969907	6.288030
S2	4	256	2048	2048	20.777929	7.904450	5.699018	7.174428
S3	4	256	4096	4096	20.712749	8.498988	5.496233	6.717490
S4	4	256	8192	8192	19.888041	8.057479	5.123719	6.706808
S5	4	256	16384	16384	19.352133	8.164429	4.867347	6.320321
S6	4	256	32768	32768	20.364950	8.548111	5.094563	6.722243
R1	4	256	4096	1024	18.955761	8.246321	4.882841	5.826588
R2	4	256	4096	2048	20.838431	8.599619	5.430212	6.808579
R3	4	256	4096	4096	23.262934	9.012333	6.562240	7.688340
R4	4	256	4096	8192	20.179516	8.153771	5.430958	6.594774
R5	4	256	4096	16384	19.366842	7.698382	5.155456	6.512981
L1	4	256	1024	4096	21.348695	8.515936	6.021560	6.811187
L2	4	256	2048	4096	20.728751	7.971167	5.834326	6.923240
L3	4	256	4096	4096	20.164935	8.129618	5.171413	6.863891
L4	4	256	8192	4096	20.286966	7.842515	5.362660	7.081781
L5	4	256	16384	4096	20.536419	8.026502	5.198832	7.311052
